SKU,Product,Shipments with extra charge,Extra charged ($),By service,By type
LX2024BLK1620,Picture Frame | Includes Mat | Slim Molding | Streamline Collection - 20x24 with 16x20 Mat / Black / 1 Pack,11,18.33,UPS Ground Saver $12.69; FedEx (service not itemized) $5.64,Carrier re-rate after label $12.69; Billed above label cost $5.64
PS1620GLD11145PK,"Americanflat 16x20 Picture Frame with Polished Plexiglass, Set of 5, Use as 11x14 Frame with Mat or 16x20 Frame Without Mat, Galleria Collection, Gold",3,18.27,UPS Ground Saver $17.96; FedEx (service not itemized) $0.31,Carrier re-rate after label $17.96; Billed above label cost $0.31
A254P027SHOW7174,"Americanflat 71 x 74 Shower Curtain, Floral Shimmer by Harrison Ripley",7,18.25,UPS Ground Saver $18.25,Carrier re-rate after label $18.25
MP-PVC-LX-0810-BLACK-57-2PK,"Americanflat 8x10 Picture Frame with Mat for 5x7 - Modern Design, Shatter-Resistant Glass, PVC Frame 2 Pack - Black",4,18.23,UPS Ground Saver $9.85; UPS (service not itemized) $7.04; USPS Ground Advantage $1.34,Carrier re-rate after label $18.23
MP-PVC-LX-1824-BLACK-108,"Americanflat 18""x24"" Picture Frame - Use as 4x4 Frame with Mat or 12x12 Frame Without Mat - Thin Photo Frame with Polished Plexiglass - Black",4,18.23,USPS Ground Advantage $18.08; FedEx (service not itemized) $0.15,Carrier re-rate after label $18.08; Billed above label cost $0.15
OCFHGBV0507BLK,"Americanflat Hinged 5x7 Picture Frame with Wide, Beveled Molding and Shatter-Resistant Glass - Modern Frame Two 5x7 Photos - Black",6,18.19,FedEx (service not itemized) $18.19,Billed above label cost $18.19
JRSYDCMAH,Americanflat Jersey Frame Display Case - 23x31 Lockable Display Case with Hanger - Mahogany Sports Jersey Frame Shadow Box with Plexiglass,2,18.18,FedEx (service not itemized) $16.19; UPS Ground Saver $1.99,Billed above label cost $16.19; Carrier re-rate after label $1.99
PS1316BLK10132PK,Americanflat 13x16 Picture Frame  - Set of 2 - Use as 10x13 Frame with Mat or 13x16 Frame Without Mat - Frame Set for Wall Display - Black,5,18.16,UPS (service not itemized) $7.79; FedEx (service not itemized) $6.50; UPS Ground Saver $3.87,Carrier re-rate after label $10.37; Billed above label cost $7.79
DF0811B2PK,Legacy Matted Document Frame - 8.5x11 / Black / 2 Pack,2,18.03,FedEx (service not itemized) $18.03,Billed above label cost $18.03
MW0709BLKNOMAT,Signature Unmatted Picture Frame - Black / 7x9 / 1 Pack,1,18.01,UPS Ground Saver $18.01,Carrier re-rate after label $18.01
PS1622BLK12182PK,Americanflat 16x22 Picture Frame with Polished Plexiglass - Set of 2 - Use as 12x18 Frame with Mat or Display 16x22 Photo Without Mat,2,18.0,UPS Ground Saver $13.61; FedEx (service not itemized) $4.39,Carrier re-rate after label $13.61; Billed above label cost $4.39
PS1114BK5PK,Classic Gallery Picture Frame | Set of 5 | Galleria Collection | Includes Mat - 11X14 / Black,8,17.99,FedEx (service not itemized) $17.61; UPS Ground Saver $0.38,Billed above label cost $17.61; Carrier re-rate after label $0.38
WB2028BLK,Gallery Poster Frame without Mat | Epic Collection - 20x28 / Black,6,17.97,FedEx (service not itemized) $12.97; UPS Ground Saver $5.00,Billed above label cost $12.97; Carrier re-rate after label $5.00
MP-SB-0810-WHITE,Americanflat Shadow Box Frame White 8x10 inches - 1.5 Deep Box Frame for Objects with Glass Front,17,17.96,UPS Ground Saver $13.37; USPS Ground Advantage $4.59,Carrier re-rate after label $17.96
MP-WPC-GSD-0608-BLACK-57,"Americanflat 6x8 Gallery-Style Picture Frame with Mat to Secure Artwork, Prints, and Photos - Black",7,17.85,UPS Ground Saver $17.85,Carrier re-rate after label $17.85
WMW0810BLK57,Hudson Picture Frame - 8x10 / Black / 5x7,15,17.83,FedEx (service not itemized) $16.51; UPS Ground Saver $1.32,Billed above label cost $16.51; Carrier re-rate after label $1.32
WB2436OAKPC,Epic Poster Frame - 24x36 / Pine,1,17.82,FedEx (service not itemized) $17.82,Billed above label cost $17.82
MP-PVC-PS-1216-GOLD-912-2PK,Americanflat 2 Pack of 12x16 Frames with 9x12 Mat - Plexiglass Cover - Gold,10,17.81,UPS Ground Saver $8.98; USPS Ground Advantage $8.83,Carrier re-rate after label $8.98; Billed above label cost $8.83
MP-PES-SHOW-A281P407-7275-SL,"Americanflat Hookless Floral Shower Curtain with Sheer Panel, Snap-In Liner & Grommets, 72"" x 75""",10,17.8,FedEx (service not itemized) $17.80,Billed above label cost $17.80
MW0816WALNUT3,Signature Matted Engineered Wood Collage Frame - 8x16 / Walnut / 1 Pack,4,17.76,USPS Ground Advantage $8.47; UPS Ground Saver $7.40; FedEx (service not itemized) $1.89,Carrier re-rate after label $15.87; Billed above label cost $1.89
MP-MDF-WB-2424-BLACK,Americanflat Poster Frame 24x24 inches - Black Wooden Picture Frame with Plexiglass Cover,3,17.75,UPS Ground Saver $17.75,Carrier re-rate after label $17.75
PS1319GLD11172PK,Americanflat 13x19 Picture Frame  - Set of 2 - Use as 11x17 Frame with Mat or 13x19 Frame Without Mat - Gallery Wall Frame Set for Wall Display - Gold,6,17.73,UPS Ground Saver $17.73,Carrier re-rate after label $17.73
WB1620BKPC,Poster Frames | Polished Plexiglass | Wide Modern Design - Americanflat - 16x20 / Black,9,17.63,UPS Ground Saver $15.62; FedEx (service not itemized) $2.01,Carrier re-rate after label $15.62; Billed above label cost $2.01
A393P002SHOW7174,"Americanflat 71x74 Boho Shower Curtain - Water-Resistant Long Shower Curtain with Durable Metal Grommets and 12 Hooks - 100% Polyester - Black,",16,17.61,FedEx (service not itemized) $17.61,Billed above label cost $17.61
581426805518630922,Americanflat Fleece and Reverse Sherpa Throw Blanket - 50x60 Inch Classic Tattersall Plaid - Ultra Soft Cozy Couch Cover - Warm Reversible Design - Green,1,17.51,FedEx (service not itemized) $17.51,Billed above label cost $17.51
LX1925BLKNOMAT,Picture Frame | Slim Molding | Streamline Collection - 19x25 / Black,4,17.5,FedEx (service not itemized) $10.62; UPS Ground Saver $6.88,Billed above label cost $10.62; Carrier re-rate after label $6.88
MP-PES-SHOW-7275-YELLOW-WAF-SL,"Americanflat 72x75 Yellow Hookless Waffle Pattern Shower Curtain - Water-Resistant Long Shower Curtain with Sheer Panel, Snap-In Liner, and Grommets",6,17.47,FedEx (service not itemized) $10.45; UPS Ground Saver $6.69; UPS (service not itemized) $0.33,Billed above label cost $10.78; Carrier re-rate after label $6.69
WMW1620BLK1114,Oversized Gallery Picture Frame with Mat | Hudson Collection - 16x20 / Black / 11x14,12,17.4,FedEx (service not itemized) $16.92; UPS Ground Saver $0.48,Billed above label cost $16.92; Carrier re-rate after label $0.48
CFF0917WHT346,Americanflat 4x6 Collage Picture Frame - Fits Three 4x6 Photos or use as One 9x17 Frame -- Collage Frames with Floating Effect - White,2,17.35,UPS Ground Saver $8.98; FedEx (service not itemized) $8.37,Carrier re-rate after label $17.35
MP-PVC-LX-1319-BLACK,Americanflat 13x19 Poster Frame - Perfect for Photos and Artwork - Black,2,17.24,USPS Ground Advantage $17.24,Carrier re-rate after label $17.24
WB1616BLKPC,Gallery Poster Frame with Wood Grain Finish | Epic Collection - 16X16 / Black,6,17.2,UPS Ground Saver $10.17; FedEx (service not itemized) $7.03,Carrier re-rate after label $10.17; Billed above label cost $7.03
MW1117WALNUT,Picture Frame | Classic Molding | Signature Collection - Americanflat - Walnut / 11x17,5,17.17,UPS Ground Saver $17.13; FedEx (service not itemized) $0.04,Carrier re-rate after label $17.13; Billed above label cost $0.04
MP-MDF-WBDIST-1620-DWHITE,Americanflat Rustic Picture Frame - Unique Farmhouse Look - 16x20 - White,2,17.17,USPS Ground Advantage $17.17,Carrier re-rate after label $17.17
PS0404BLK5PKNOMAT,Galleria Unmatted Picture Frame - 4x4 / Black / 5 Pack,2,17.12,FedEx (service not itemized) $17.12,Billed above label cost $17.12
PS1620MA5PK,Americanflat 16x20 Picture Frame in Mahogany - Displays 11x14 With Mat and 16x20 Without Mat - Set of 5 Frames with Sawtooth Hanging Hardware,9,17.11,UPS Ground Saver $14.00; USPS Ground Advantage $2.95; FedEx (service not itemized) $0.15,Carrier re-rate after label $16.95; Billed above label cost $0.15
MP-PS-VF-0406-SILVER,"Americanflat 4""x6"" Vintage Picture Frame with Beaded Accents with Shatter Resistant Glass and Easel Stand - Silver",4,17.02,UPS Ground Saver $9.70; USPS Ground Advantage $5.09; UPS (service not itemized) $2.24,Carrier re-rate after label $14.79; Billed above label cost $2.24
MW0820BLK,"Black Picture Frame Without Mat, Glass Front - Americanflat - 8x20 / Black",3,17.0,USPS Ground Advantage $15.00; UPS Ground Saver $2.00,Carrier re-rate after label $17.00
MP-PES-SHOW-GEO5-7275-GRAY-SL,"Americanflat 72x75 Hookless Shower Curtain - Grey Lines Shower Curtain with Sheer Panel, Snap-In Liner, and Grommets - 100% Polyester",11,16.98,UPS (service not itemized) $11.88; FedEx (service not itemized) $3.56; UPS Ground Saver $1.54,Carrier re-rate after label $13.42; Billed above label cost $3.56
405134844905717764,Americanflat Poster Frame - Perfect Frame for Photos and Artwork - Large Picture Frame - Polished Plexiglass - Hanging Hardware with Horizontal and Vertical Display,3,16.94,UPS Ground Saver $16.94,Carrier re-rate after label $16.94
LX0909BLKNOMAT,Americanflat 9x9 Picture Frame - Streamline Collection - Thin Border Square Frame for Tabletop and Wall Display - Black,3,16.83,UPS Ground Saver $13.21; UPS (service not itemized) $3.62,Carrier re-rate after label $13.21; Billed above label cost $3.62
MP-PES-SHOW-A405P298-7174,71x74 Boho Desert Shower Curtain - 100% Polyester - Water-Resistant Bath Curtain,7,16.73,UPS Ground Saver $16.73,Carrier re-rate after label $16.73
FLAGCASEBLK,Flag Display Case | Memorial Service | Veteran Burial | Commemorative Shadow Box - Burial Service / Black,2,16.59,UPS Ground Saver $16.59,Carrier re-rate after label $16.59
LX1010WHT44,Streamline Matted Plastic Picture Frame - 10x10 / White / 4x4,2,16.57,FedEx (service not itemized) $16.57,Billed above label cost $16.57
329325575682031618,Americanflat 11x22 Newspaper Frame - Display Frame for Showcasing Newspaper Front Page - Polished Plexiglass Cover - Hanging Hardware for Horizontal or Vertical Display,6,16.49,UPS (service not itemized) $10.24; UPS Ground Saver $6.25,Carrier re-rate after label $13.29; Billed above label cost $3.20
MW1012BLK810,Americanflat 10x12 Picture Frame in Black - Displays 8x10 With Mat and 10x12 Without Mat - Composite Wood with Shatter Resistant Glass,2,16.47,UPS Ground Saver $11.47; USPS Ground Advantage $5.00,Carrier re-rate after label $16.47
WB2434BLK,Epic Poster Frame - 24x34 / Black,2,16.43,FedEx (service not itemized) $16.43,Billed above label cost $16.43
MP-PVC-PS-1218-BLACK-1117-2PK,Americanflat 2 Pack of 12x18 Frames with 11x17 Mat - Plexiglass Cover - Black,5,16.38,USPS Ground Advantage $12.81; UPS Ground Saver $3.44; FedEx (service not itemized) $0.12,Carrier re-rate after label $16.25; Billed above label cost $0.12
LX0505WHTNOMAT,Americanflat 5x5 Picture Frame with Shatter-Resistant Glass - Streamline Collection - Thin Square Picture Frame for Tabletop and Wall Display - White,10,16.34,UPS (service not itemized) $10.80; UPS Ground Saver $5.54,Carrier re-rate after label $12.40; Billed above label cost $3.94
517544311508484102,Americanflat 20x20 Abstract Earth Tones Canvas Wall Art with Hand-Painted Accents - Set of 2,1,16.29,UPS (service not itemized) $16.29,Carrier re-rate after label $16.29
A313P125SHOW7174AZ,"Americanflat 71x74 Oval Pattern Shower Curtain - Metal Grommets and 12 Hooks - 100% Polyester - Olive Green, Teal, Yellow, Blush, Plum and Orange",5,16.27,FedEx (service not itemized) $16.27,Billed above label cost $16.27
CPT5070YOGAGREY,Americanflat 50x70 Authentic Mexican Throw Blanket - Falsa Blanket - Soft Cotton Throw Blankets for Indoor or Outdoor - Grey Stripes,1,16.27,FedEx (service not itemized) $16.27,Billed above label cost $16.27
MP-MDF-WB-2024-BLACK,Americanflat Poster Frame 20x24 inches - Black Wooden Picture Frame with Plexiglass Cover,3,16.24,USPS Ground Advantage $14.24; UPS Ground Saver $2.00,Carrier re-rate after label $16.24
BJ5060BXRNBOWCRM,Americanflat 50x60 Jacquard Fleece Throw Blanket - Cream Rainbow Polyester Fleece,3,16.22,FedEx (service not itemized) $16.22,Billed above label cost $16.22
WB1824MAHPC,Americanflat 18x24 Poster Frame in Walnut with Polished Plexiglass - Horizontal and Vertical Formats with Included Hanging Hardware,7,16.21,USPS Ground Advantage $10.40; FedEx (service not itemized) $5.01; UPS Ground Saver $0.80,Carrier re-rate after label $11.20; Billed above label cost $5.01
AZ-PES-RPIL-A281P227-2014,"Americanflat 20x14 Decorative Throw Pillow with Sewn-in Insert - Soft Square All-in-One Cushion for Sofa, Couch or Bed - White and Indigo",3,16.21,FedEx (service not itemized) $16.21,Billed above label cost $16.21
MP-PS-PFF-1620-BLACK-1114,16x20 with 11x14 Mat | Classic Gallery Style Picture Frame With Decorative Inner Mat Accent | Veranda Collection - Black,3,16.18,UPS (service not itemized) $16.18,Billed above label cost $9.14; Carrier re-rate after label $7.04
LX1521BLKNOMAT,Picture Frame | Slim Molding | Streamline Collection - 15x21 / Black,5,16.18,UPS Ground Saver $13.12; FedEx (service not itemized) $3.05,Carrier re-rate after label $13.12; Billed above label cost $3.05
MP-MDF-CFF-0917-BLACK-346,Americanflat Floating Collage Frame - Display Three 4x6 Photos - 9x17 - Black,4,16.16,UPS Ground Saver $9.35; UPS (service not itemized) $6.81,Carrier re-rate after label $16.16
BJ3040BXPETTAU,Americanflat 30x40 Jacquard Pet Fleece Throw Blanket - Taupe Paw Print Polyester Fleece,23,16.15,FedEx (service not itemized) $16.15,Billed above label cost $16.15
WMW2228WHT1824,Oversized Gallery Picture Frame with Mat | Hudson Collection - 22x28 / White / 18x24,3,16.14,FedEx (service not itemized) $16.14,Billed above label cost $16.14
PS1515BLK12122PK,Americanflat 15x15 Picture Frame with Polished Plexiglass - Set of 2 - 12x12 with Mat or 15x15 Without Mat - Galleria - Square Frames - Black,3,16.13,USPS Ground Advantage $16.13,Carrier re-rate after label $16.13
KAF8511WALNUT,My Mini Masterpiece 8.5x11 Matted Picture Frame - 8.5x11 / Walnut,3,16.06,USPS Ground Advantage $15.81; FedEx (service not itemized) $0.25,Carrier re-rate after label $15.81; Billed above label cost $0.25
MP-ALU-AL-1114-GOLD-810,Americanflat Aluminum 11 x 14 Picture Frame - Gold,11,16.05,UPS Ground Saver $15.83; FedEx (service not itemized) $0.23,Carrier re-rate after label $15.83; Billed above label cost $0.23
WB1317BLK,Gallery Poster Frame with Wood Grain Finish | Epic Collection - 13X17 / Black,2,16.05,FedEx (service not itemized) $15.40; UPS Ground Saver $0.65,Billed above label cost $15.40; Carrier re-rate after label $0.65
MPFLEBRVS6080TTLCRM,Americanflat 60x80 Oversized Tattersall Fleece Throw Blanket - Reversible Faux Shearling Backing - Ultra Soft - Cozy Warmth For Couch Or Bed - Cream,1,16.04,FedEx (service not itemized) $16.04,Billed above label cost $16.04
MP-PS-1216-BLACK-8511-5PK,Americanflat 5 Pack of 12x16 Frames with 8.5x11 Mat - Plexiglass Cover - Black,6,16.04,UPS Ground Saver $11.91; USPS Ground Advantage $4.08; FedEx (service not itemized) $0.04,Carrier re-rate after label $15.99; Billed above label cost $0.04
MP-PVC-PS-1117-NAOAK-915-5PK,Americanflat 5 Pack of 11x17 Frames with 9x15 Mat - Plexiglass Cover - Natural Oak,2,15.96,USPS (service not itemized) $8.85; USPS Ground Advantage $7.11,Carrier re-rate after label $15.96
FF8511BK,Signature Float Picture Frame - 8.5x11 / Black,1,15.93,UPS Ground Saver $15.93,Billed above label cost $15.93
329325794725363718,"Americanflat Gallery Wall Picture Frames - Set of 10 - 8x10 (2), 5x7 (4), 4x6 (4) Picture Frame Set - Shatter Resistant Glass - Adjustable Hanging Hardware - Easel for Tabletop Display - Driftwood",1,15.76,FedEx (service not itemized) $15.76,Billed above label cost $15.76
MP-PES-SHOW-7174-SOLIDBLACK,Americanflat 71x74 Solid Black Shower Curtain - Water Resistant - Polyester Fabric,5,15.72,UPS Ground Saver $15.72,Carrier re-rate after label $15.72
PS1114GLD8105PK,Americanflat 11x14 Picture Frame  - Set of 5 - Use as 8x10 Frame with Mat or 11x14 Frame Without Mat - Gallery Wall Frame Set for Wall Display - Gold,3,15.68,UPS (service not itemized) $12.35; UPS Ground Saver $3.33,Billed above label cost $12.35; Carrier re-rate after label $3.33
MP-PVC-LX-1212-BLACK-44,"Americanflat 12""x12"" Picture Frame - Use as 4x4 Frame with Mat or 12x12 Frame Without Mat - Thin Photo Frame with Polished Plexiglass - Black",6,15.5,USPS Ground Advantage $6.07; USPS (service not itemized) $5.86; UPS Ground Saver $2.75; FedEx (service not itemized) $0.82,Carrier re-rate after label $8.61; Billed above label cost $6.89
OCFBAM1114SLV810,Bamboo Metal Picture Frame | Shatter-Resistant Glass | Tabletop Wall Display - 11x14 / Silver,2,15.49,FedEx (service not itemized) $15.49,Billed above label cost $15.49
MW1216BK,Americanflat 12x16 Picture Frame with Shatter-Resistant Glass - Gallery Style Frame with Engineered Wood - Signature Collection - Black,5,15.49,UPS Ground Saver $13.64; USPS Ground Advantage $1.85,Carrier re-rate after label $15.49
LX1316BLK1013,Americanflat 13x16 Picture Frame with Polished Plexiglass - Use as 10x13 Frame with Mat or 13x16 Frame Without Mat - Streamline Collection - Black,5,15.47,UPS (service not itemized) $9.45; UPS Ground Saver $5.54; FedEx (service not itemized) $0.48,Carrier re-rate after label $14.99; Billed above label cost $0.48
MP-MDF-WB-2434-BLACK-2030,Americanflat Poster Frame 24x34 inches with 20x30 Mat - Black Wooden Picture Frame with Plexiglass Cover,1,15.46,FedEx (service not itemized) $15.46,Billed above label cost $15.46
MW0816BLK,Picture Frame | Classic Molding | Signature Collection - Americanflat - Black / 8x16,1,15.41,UPS Ground Saver $15.41,Carrier re-rate after label $15.41
MK-PD3-810-WALNUT,Americanflat Picture Frame | Includes Mat | Classic Molding | Signature Collection - 8x10 / Walnut,6,15.37,UPS Ground Saver $11.19; USPS Ground Advantage $2.89; FedEx (service not itemized) $1.29,Carrier re-rate after label $14.07; Billed above label cost $1.29
MW8511PBRASS2PK,Signature Unmatted Picture Frame - Polished Brass / 8.5x11 / 2 Pack,1,15.29,UPS Ground Saver $15.29,Carrier re-rate after label $15.29
SHOW7174SSGRN,Americanflat 71x74 Solid Green Shower Curtain - 100% Polyester Shower Curtain - Water-Resistant Curtain with Metal Grommets and 12 Curtain Rings,4,15.27,UPS Ground Saver $7.69; FedEx (service not itemized) $7.58,Carrier re-rate after label $7.69; Billed above label cost $7.58
MP-PVC-LX-1724-BLACK,Americanflat 17x24 Poster Frame - Perfect for Photos and Artwork - Black,4,15.26,FedEx (service not itemized) $11.26; UPS (service not itemized) $4.00,Billed above label cost $15.26
MW8511BKC4PK,"Americanflat 8.5x11 Diploma Frame, Black, 4 Pack",1,15.25,FedEx (service not itemized) $15.25,Carrier re-rate after label $15.25
PS0507BLK465PK,Classic Gallery Picture Frame | Set of 5 | Galleria Collection | Includes Mat - 5X7 / Black,7,15.25,UPS Ground Saver $13.66; FedEx (service not itemized) $1.59,Billed above label cost $8.93; Carrier re-rate after label $6.32
WMW1215PBRASS912,Americanflat 12x15 Picture Frame with Shatter-Resistant Glass - Use as 9x12 Frame with Mat or 12x15 Frame without Mat - Hudson Collection - Gold,4,15.21,UPS Ground Saver $15.21,Carrier re-rate after label $15.21
GSD1624BLK,Deep Molding Picture Frame | Americanflat | No Mat | Modern - Premium Quality - 16x24 / Black,3,15.16,FedEx (service not itemized) $12.49; UPS Ground Saver $2.67,Billed above label cost $12.49; Carrier re-rate after label $2.67
MP-PES-SHOW-A413P075-7275-SL,"Americanflat 72x75 Hookless Shower Curtain - Abstract Khaki Cream Shower Curtain with Sheer Panel, Snap-In Liner, and Grommets - 100% Polyester",7,15.13,UPS Ground Saver $7.11; UPS (service not itemized) $7.02; FedEx (service not itemized) $1.00,Carrier re-rate after label $10.95; Billed above label cost $4.18
SHOW7275WHTWAFSL,"Americanflat 72x75 Hookless Waffle Pattern Shower Curtain - Water-Resistant Long Shower Curtain with Sheer Panel, Snap-In Liner, and Durable Grommets",7,15.11,FedEx (service not itemized) $15.11,Billed above label cost $15.11
LX2424BLKNOMAT,Streamline Picture Frame - 24x24 / Black,3,15.04,UPS Ground Saver $6.96; USPS Ground Advantage $6.40; FedEx (service not itemized) $1.68,Carrier re-rate after label $13.36; Billed above label cost $1.68
LX0810BLKNOMAT,Americanflat 8x10 Picture Frame with Shatter-Resistant Glass - Thin Border Photo Frame for Tabletop and Wall Display - Hanging Hardware and Easel.,11,15.01,UPS Ground Saver $7.93; UPS (service not itemized) $3.15; FedEx (service not itemized) $2.76; USPS Ground Advantage $1.17,Carrier re-rate after label $12.25; Billed above label cost $2.76
MW0530BLKNOMAT,Picture Frame | Classic Molding | Signature Collection - Americanflat - Black / 5x30,3,15.0,UPS Ground Saver $15.00,Carrier re-rate after label $15.00
CANFF1216BLK,Canvas Floating Frame Without Mat - Americanflat - 12x16 / Black,3,14.98,UPS Ground Saver $14.79; FedEx (service not itemized) $0.20,Carrier re-rate after label $14.79; Billed above label cost $0.20
LX8511GREY,Americanflat 8.5x11 Picture Frame with Shatter-Resistant Glass - Thin Border Photo Frame for Wall and Tabletop Display - Grey,1,14.97,UPS Ground Saver $14.97,Carrier re-rate after label $14.97
MW0406WHTNOMAT,Americanflat 4x6 Picture Frame with Shatter-Resistant Glass - Gallery-Style Frames Made of Engineered Wood - Tabletop and Wall Display - White,4,14.96,UPS Ground Saver $14.94; FedEx (service not itemized) $0.02,Carrier re-rate after label $14.94; Billed above label cost $0.02
MW8511BKC2PK,"Americanflat Diploma Frame in Black Wood with Shatter Resistant Glass - Horizontal and Vertical Formats for Wall and Tabletop - 8.5"" x 11"" - Pack of 2",5,14.95,UPS (service not itemized) $11.25; FedEx (service not itemized) $2.73; UPS Ground Saver $0.97,Billed above label cost $9.11; Carrier re-rate after label $5.83
MW0909BLK,Americanflat 9x9 Picture Frame in Black - Composite Wood with Shatter Resistant Glass - Horizontal and Vertical Formats for Wall and Tabletop,6,14.94,USPS Ground Advantage $8.53; UPS (service not itemized) $3.35; USPS (service not itemized) $2.69; UPS Ground Saver $0.37,Carrier re-rate after label $8.90; Billed above label cost $6.04
343126403058761796,Americanflat 2 Pack of Picture Frames with Mat - Plexiglass Cover,1,14.9,UPS Ground Saver $14.90,Carrier re-rate after label $14.90
MW1216BK812,Americanflat Picture Frame in Black Wood with Shatter Resistant Glass - Horizontal and Vertical Formats - Wall Mounted - 12 x 16,3,14.86,UPS Ground Saver $14.25; FedEx (service not itemized) $0.61,Carrier re-rate after label $14.25; Billed above label cost $0.61
LX8511BLK2PK,Americanflat 8.5x11 Picture Frame 2 Pack in Black with Polished Plexiglass - Thin Border 8.5 X 11 Inch Photo Frames for Wall or Desk,5,14.81,FedEx (service not itemized) $9.68; UPS (service not itemized) $5.13,Billed above label cost $14.81
MW0810SL57,Americanflat 8x10 Picture Frame in Silver - Displays 5x7 With Mat and 8x10 Without Mat - Composite Wood with Polished Glass,4,14.79,UPS Ground Saver $11.08; USPS Ground Advantage $3.71,Carrier re-rate after label $14.79
PS1319BLK5PKNOMAT,"Set of 5 - Classic Gallery Picture Frame without Mat | Galleria Collection - 13"" x 19"" / Black",1,14.79,UPS (service not itemized) $14.79,Carrier re-rate after label $14.79
WB0810DFBLK,Americanflat Collage Picture Frame in with Three Displays Textured Wood and Polished Glass for Wall and Tabletop - Charcoal 8 x 10,1,14.72,UPS Ground Saver $14.72,Carrier re-rate after label $14.72
MW1212BKNOMAT,Picture Frame | Classic Molding | Signature Collection - Americanflat - Black / 12x12 / no mat,4,14.72,UPS Ground Saver $12.22; FedEx (service not itemized) $2.50,Carrier re-rate after label $12.22; Billed above label cost $2.50
AZ-PES-PILL-A281P227-2020,"Americanflat 20x20 Decorative Throw Pillow with Sewn-in Insert - Soft Square All-in-One Cushion for Sofa, Couch or Bed - White and Indigo",2,14.71,FedEx (service not itemized) $14.71,Billed above label cost $14.71
MW0507BK3HINGE,"Americanflat Hinged 3 Photo Frame in Black MDF - Desk Photo Frame for 5X7"" Photos - Tri Folding Picture Frame For Desk",6,14.71,UPS (service not itemized) $10.41; UPS Ground Saver $4.30,Carrier re-rate after label $14.71
OCFROP1114GLD810,Americanflat 11x14 Picture Frame with Rope-Style Detailing and Shatter-Resistant Glass - 8x10 with Mat or 11x14 Without Mat - Metal Frames - Gold,12,14.65,FedEx (service not itemized) $14.65,Billed above label cost $14.65
MP-MDF-DC-FIG-1414-BLACK,Americanflat 14x14 Minifigure Display Case with Polished Plexiglass - Holds 28 Minifigures - Wall-Mounted Display Case for Small Collectibles - Black,4,14.62,UPS Ground Saver $9.24; USPS Ground Advantage $5.38,Carrier re-rate after label $14.62
CPT5060FH107,"Americanflat 100% Cotton Throw Blanket for Couch - 50x60 -  Rustic Cream Throw Blanket for Bed, Sofa or Chair [Beige Black Plaid]",6,14.59,UPS Ground Saver $13.62; FedEx (service not itemized) $0.97,Carrier re-rate after label $13.62; Billed above label cost $0.97
A281P242SHOW7174,"Americanflat 71 x 74 Shower Curtain, Blissful Blue by PI Creative Art",5,14.59,UPS (service not itemized) $9.95; UPS Ground Saver $4.64,Carrier re-rate after label $11.04; Billed above label cost $3.55
MP-PVC-PS-1218-GOLD-1117-5PK,Americanflat 5 Pack of 12x18 Frames with 11x17 Mat - Plexiglass Cover - Gold,3,14.58,FedEx (service not itemized) $8.78; USPS Ground Advantage $4.39; UPS Ground Saver $1.41,Billed above label cost $8.78; Carrier re-rate after label $5.80
MK-PD3-810-DWOOD,Americanflat 8x10 Picture Frame in Driftwood - Displays 5x7 With Mat and 8x10 Without Mat - Composite Wood with Shatter Resistant Glass  and Tabletop,4,14.52,UPS Ground Saver $14.52,Carrier re-rate after label $14.52
WB1620LWOOD,Americanflat 16x20 Poster Frame in Light Wood with Polished Plexiglass - Horizontal and Vertical Formats with Included Hanging Hardware,5,14.51,FedEx (service not itemized) $9.51; UPS Ground Saver $5.00,Billed above label cost $9.51; Carrier re-rate after label $5.00
A4BLK-2PACK,"Americanflat A4 Picture Frame, Black, 2 Pack",5,14.44,UPS (service not itemized) $7.04; USPS Ground Advantage $5.41; FedEx (service not itemized) $1.99,Carrier re-rate after label $12.45; Billed above label cost $1.99
LX1724BLKNOMAT,Picture Frame | Slim Molding | Streamline Collection - 17x24 / Black,7,14.4,UPS Ground Saver $9.00; USPS Ground Advantage $5.40,Carrier re-rate after label $14.40
MW1218NAOAK,Americanflat 12x18 Poster Frame -- Gallery-Style Frames Made of Engineered Wood - Photo Frame for Wall Display - Natural Oak,3,14.38,UPS Ground Saver $7.88; FedEx (service not itemized) $6.50,Carrier re-rate after label $7.88; Billed above label cost $6.50
FFM95125BLK,Americanflat 9.5x12.5 Playbill Frame with Shatter-Resistant Glass - Signature Float Collection - Engineered Wood - Black,4,14.37,FedEx (service not itemized) $6.86; UPS Ground Saver $5.04; USPS Ground Advantage $2.47,Carrier re-rate after label $7.51; Billed above label cost $6.86
MW1319PBRASS,Signature Unmatted Picture Frame - 13x19 / Gold / 1 Pack,1,14.35,UPS Ground Saver $14.35,Carrier re-rate after label $14.35
MW0404BLKNOMAT,Picture Frame | Classic Molding | Signature Collection - Americanflat - Black / 4x4,2,14.29,FedEx (service not itemized) $13.88; UPS Ground Saver $0.41,Billed above label cost $13.88; Carrier re-rate after label $0.41
289023965215178853,"Americanflat Shadow Box Frame - 1.5 Interior Depth for Memorabilia - Display Case for Showcasing Souvenirs, Awards, and Medals - Shatter Resistant Glass - Hanging Hardware",3,14.25,UPS (service not itemized) $7.56; UPS Ground Saver $6.44; FedEx (service not itemized) $0.25,Carrier re-rate after label $14.00; Billed above label cost $0.25
